block_quantity, block_size, variance (+ if calloc was slower)
4481, 4481, 0.657800
4491, 4491, 0.647790
4501, 4501, 0.759410
4511, 4511, 0.712930
4521, 4521, 0.669140
4531, 4531, 0.651550
4541, 4541, 0.715440
4551, 4551, 0.713990
4561, 4561, 0.714850
4571, 4571, 0.796230
4581, 4581, 0.789210
4591, 4591, 0.738360
4601, 4601, 0.835580
4611, 4611, 0.799910
4621, 4621, 0.783840
4631, 4631, 0.780480
4641, 4641, 0.851990
4651, 4651, 0.812320
4661, 4661, 0.827520
4671, 4671, 0.889280
4681, 4681, 0.877120
4691, 4691, 0.885330
4701, 4701, 0.924770
4711, 4711, 0.918710
4721, 4721, 0.929030
4731, 4731, 0.976290
4741, 4741, 0.955980
4751, 4751, 0.961400
4761, 4761, 1.033630
4771, 4771, 1.097830
4781, 4781, 1.109400
4791, 4791, 1.076980
4801, 4801, 1.077430
4811, 4811, 1.067350
4821, 4821, 1.065250
4831, 4831, 1.128490
4841, 4841, 1.074040
4851, 4851, 1.100030
4861, 4861, 1.188440
4871, 4871, 1.185740
4881, 4881, 1.173950
4891, 4891, 1.237400
4901, 4901, 1.250050
4911, 4911, 1.215300
4921, 4921, 1.301270
4931, 4931, 1.315230
4941, 4941, 1.274310
4951, 4951, 1.267330
4961, 4961, 1.326980
4971, 4971, 1.315020
4981, 4981, 1.319570
4991, 4991, 1.369080
